printOutputs,datasetName,nElements,nAttributes,nClasses,classesInLine,maxTreeHeigth,alpha,minLeafElements,timeLimit,totalElementos,totalGalhos,totalFolhas,alturaReal,totalErros,totalAcertos,spentTime
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,0,180,630,4,5,3,125,505,607.308060
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,0,180,630,4,5,3,125,505,577.612462
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,0,180,630,4,5,3,125,505,459.726625
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,0,180,630,4,5,3,125,505,628.207107
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,0,180
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,0,180,630,4,5,3,125,505,631.220435
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,0,180,630,4,5,3,125,505,627.567072
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,0,180,630,4,0,2,125,505,632.550737
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,0,180,630,0,0,0,125,505,624.566796
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,0,180,630,4,5,3,125,505,612.430707
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,0,180
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,0,180,630,4,5,3,125,505,613.154495
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,0,180,630,4,5,3,125,505,525.316710
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,0,180,630,4,5,3,125,505,590.534322
1,Iris.csv,-1,4,3,"Iris-setosa,Iris-versicolor,Iris-virginica",2,0.300000,2,120,150,2,3,2,6,144,142.662003
1,Iris.csv,-1,4,3,"Iris-setosa,Iris-versicolor,Iris-virginica",2,0.300000,2,120,150,2,3,2,6,144,140.644622
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,0,180,630,4,5,3,125,505,495.447860
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,0,180,630,4,5,3,125,505,588.613730
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,0,180,630,4,5,3,125,505,569.327175
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",4,0.500000,0,180,630,15,16,4,4,626,506.410578
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",4,0.500000,0,180
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,0,180,630,4,5,3,125,505,461.228076
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,0,180,630,4,5,3,125,505,378.349552
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,0,180,630,4,5,3,125,505,370.164404
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,0,180,630,4,5,3,125,505,417.033992
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,0,180,630,4,5,3,125,505,636.641679
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,0,180,630,4,5,3,125,505,635.434608
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,0,180,630,4,5,0,125,505,624.560620
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,0,180,630,4,5,0,125,505,616.686411
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,0,180,630,4,5,3,125,505,626.353975
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,0,180,630,4,5,3,125,505,630.673915
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,0,180,630,4,5,3,125,505,630.811318
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,0,180,630,4,5,3,125,505,442.827434
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,0,180,630,4,5,3,125,505,561.872226
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,0,180
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,0,180,630,4,5,3,125,505,623.745442
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,0,180,630,4,5,3,125,505,634.850679
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,0,180,630,4,5,3,125,505,625.346488
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,0,180,630,4,5,3,125,505,543.164985
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,0,180,630,4,5,3,125,505,623.659364
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,0,180,630,4,5,3,125,505,619.409998
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,0,180,630,4,5,3,125,505,621.899117
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,0,180,630,4,5,3,125,505,626.155392
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,0,180,630,4,5,3,125,505,391.212005
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,0,180,630,4,5,3,125,505,617.203011
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,0,180,630,4,5,3,125,505,472.585986
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,0,180,630,4,5,3,125,505,378.228187
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,0,180,630,2,3,2,252,378,408.234207
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,0,180,630,1,2,1,378,252,380.359999
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,0,180,630,1,4,1,378,252,411.103973
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,0,180,630,1,3,1,378,252,410.832434
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,0,180,630,6,8,3,3,627,403.491959
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,0,180,630,1,3,1,378,252,415.980238
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,0,180,630,3,4,3,358,272,382.845544
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,0,180,630,3,5,3,303,327,594.302906
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.050000,0,180,630,3,3,3,253,377,626.125886
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.050000,0,180,630,3,3,3,253,377,445.715353
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.050000,0,180,630,3,3,3,253,377,541.814661
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,0,180,630,3,5,3,303,327,578.200425
1,DropoutAcademicSuccess100.csv,-1,36,3,"0,1,2,3,4",4,0.050000,0,180,100,1,2,1,5,95,2.188079
1,DropoutAcademicSuccess1000.csv,-1,36,3,"0,1,2,3,4",4,0.050000,0,180,1000,1,2,1,75,925,38.360975
1,DropoutAcademicSuccess1000.csv,-1,36,3,"Dropout,Graduate,Enrolled",4,0.005000,0,180
1,DropoutAcademicSuccess1000.csv,-1,36,3,"Dropout,Graduate,Enrolled",4,0.050000,0,180
1,DropoutAcademicSuccess200.csv,-1,36,3,"Dropout,Graduate,Enrolled",4,0.050000,0,180,200,4,4,4,41,159,570.907847
1,DropoutAcademicSuccess200.csv,-1,36,3,"Dropout,Graduate,Enrolled",4,0.050000,0,180,200,4,4,4,41,159,556.817116
1,Iris.csv,-1,4,3,"Iris-setosa,Iris-versicolor,Iris-virginica",2,0.300000,2,120,150,2,3,2,6,144,139.237321
1,DropoutAcademicSuccess200.csv,-1,36,3,"Dropout,Graduate,Enrolled",4,0.050000,0,180,200,4,4,4,41,159,606.975954
1,DropoutAcademicSuccess200.csv,-1,36,3,"Dropout,Graduate,Enrolled",4,0.050000,0,180,200,4,4,4,41,159,501.090106
1,Iris.csv,-1,4,3,"Iris-setosa,Iris-versicolor,Iris-virginica",2,0.300000,2,120,150,2,3,2,6,144,139.696042
1,Iris.csv,-1,4,3,"Iris-setosa,Iris-versicolor,Iris-virginica",2,2.000000,60,120,150,1,2,1,50,100,2.627190
1,Iris.csv,-1,4,3,"Iris-setosa,Iris-versicolor,Iris-virginica",2,0.300000,2,60,150,2,3,2,6,144,141.959685
1,Iris.csv,-1,4,3,"Iris-setosa,Iris-versicolor,Iris-virginica",2,0.300000,2,60,150,2,3,2,6,144,145.431575
1,Iris.csv,-1,4,3,"Iris-setosa,Iris-versicolor,Iris-virginica",2,0.300000,2,60,150,2,3,2,6,144,139.809035
1,Iris.csv,-1,4,3,"Iris-setosa,Iris-versicolor,Iris-virginica",2,0.300000,2,60,150,2,3,2,6,144,139.105704
1,Iris.csv,-1,4,3,"Iris-setosa,Iris-versicolor,Iris-virginica",2,0.300000,2,60,150,2,3,2,6,144,140.672019
1,Iris.csv,-1,4,3,"Iris-setosa,Iris-versicolor,Iris-virginica",2,0.300000,2,60,150,2,3,2,6,144,139.148849
1,Iris.csv,-1,4,3,"Iris-setosa,Iris-versicolor,Iris-virginica",2,0.300000,2,60,150,2,3,2,6,144,140.128457
1,Iris.csv,-1,4,3,"Iris-setosa,Iris-versicolor,Iris-virginica",2,0.300000,2,60,150,2,3,2,6,144,140.850175
1,DropoutAcademicSuccess200.csv,-1,36,3,"Dropout,Graduate,Enrolled",4,0.050000,0,180,200,4,4,4,41,159,623.686712
1,DropoutAcademicSuccess200.csv,-1,36,3,"Dropout,Graduate,Enrolled",4,0.050000,1,180,200,6,4,4,54,146,538.938337
1,DropoutAcademicSuccess200.csv,-1,36,3,"Dropout,Graduate,Enrolled",4,0.050000,1,180
1,DropoutAcademicSuccess200.csv,-1,36,3,"Dropout,Graduate,Enrolled",4,0.050000,1,180
1,DropoutAcademicSuccess200.csv,-1,36,3,"Dropout,Graduate,Enrolled",3,0.050000,1,180
1,DropoutAcademicSuccess200.csv,-1,36,3,"Dropout,Graduate,Enrolled",3,0.050000,1,180
1,DropoutAcademicSuccess200.csv,-1,36,3,"Dropout,Graduate,Enrolled",3,0.050000,1,180,200,5,3,3,0,200,84.997593
1,DropoutAcademicSuccess200.csv,-1,36,3,"Dropout,Graduate,Enrolled",4,0.050000,1,180,200,6,4,4,54,146,525.929921
1,DropoutAcademicSuccess200.csv,-1,36,3,"Dropout,Graduate,Enrolled",4,0.050000,1,180,200,6,4,4,54,146,562.326368
1,Iris.csv,-1,4,3,"Iris-setosa,Iris-versicolor,Iris-virginica",2,0.300000,2,120,150,2,3,2,6,144,156.662072
1,DropoutAcademicSuccess200.csv,-1,36,3,"Dropout,Graduate,Enrolled",4,0.050000,1,180,200,6,4,4,54,146,570.645515
1,DropoutAcademicSuccess200.csv,-1,36,3,"Dropout,Graduate,Enrolled",4,0.050000,1,180,200,6,4,4,54,146,427.506317
1,Iris.csv,-1,4,3,"Iris-setosa,Iris-versicolor,Iris-virginica",2,0.300000,2,120,150,2,3,2,6,144,146.080858
1,DropoutAcademicSuccess200.csv,-1,36,3,"Dropout,Graduate,Enrolled",4,0.050000,1,180,200,6,4,4,54,146,371.275554
1,Iris.csv,-1,4,3,"Iris-setosa,Iris-versicolor,Iris-virginica",2,0.300000,2,120,150,2,3,2,6,144,144.700650
1,Iris.csv,-1,4,3,"Iris-setosa,Iris-versicolor,Iris-virginica",2,0.300000,2,120,150,2,3,2,6,144,147.047545
1,DropoutAcademicSuccess200.csv,-1,36,3,"Dropout,Graduate,Enrolled",4,0.050000,1,180,200,6,4,4,54,146,573.229418
1,DropoutAcademicSuccess100.csv,-1,36,3,"Dropout,Graduate,Enrolled",4,0.050000,1,180,100,1,1,1,51,49,611.887494
1,DropoutAcademicSuccess200.csv,-1,36,3,"Dropout,Graduate,Enrolled",4,0.050000,1,180,200,6,4,4,54,146,562.466886
1,DropoutAcademicSuccess200.csv,-1,36,3,"Dropout,Graduate,Enrolled",4,0.050000,1,180,200,6,4,4,54,146,534.539895
1,DropoutAcademicSuccess200.csv,-1,36,3,"Dropout,Graduate,Enrolled",4,0.050000,1,180,200,6,4,4,54,146,535.386998
1,DropoutAcademicSuccess200.csv,-1,36,3,"Dropout,Graduate,Enrolled",4,0.050000,1,180,200,1,1,1,101,99,585.725075
1,DropoutAcademicSuccess200.csv,-1,36,3,"Dropout,Graduate,Enrolled",4,0.050000,1,180,200,9,7,4,6,194,573.363009
1,Iris.csv,-1,4,3,"Iris-setosa,Iris-versicolor,Iris-virginica",2,0.300000,2,120,150,2,3,2,6,144,50.970500
1,DropoutAcademicSuccess200.csv,-1,36,3,"Dropout,Graduate,Enrolled",4,0.005000,1,180
